title,date,quarter,keyword_counts,summary
HiatusRAT Actors Targeting Web Cameras and DVRs,2024-12-16,4,"{'threats_of_violence': 2, 'malware': 3}","PIN Number  The following information is being provided by the FBI, with no guarantees or warranties, for potential  use at the sole discretion of recipients to protect against cyber threats. Companies should also regularly monitor networks and employ  best practices for cybersecurity, including the following:  ▪ Review or establish security policies, user agreements, and patching plans to address  threats posed by these and other malicious cyber actors. Threat  HiatusRAT is a Remote Access Trojan (RAT) whose latest iteration has likely been employed  since July 2022. Cybersecurity companies have also observed these actors using the malware to target                                                             1 (U) Previous HiatusRAT campaigns have targeted edge routers to passively collect traffic and function as a covert  network of command-and-control (C2) infrastructure. ▪ Automatically update antivirus and anti-malware solutions and conduct regular virus  and malware scans."
Enhanced Visibility and Hardening Guidance for Communications Infrastructure,2024-12-03,4,"{'phishing': 2, 'threats_of_violence': 2}","TLP:CLEAR  CISA | FBI | NSA | ASD’s ACSC | CCCS | NCSC-NZ  TLP:CLEAR  7   Require phishing-resistant multi-factor authentication (MFA) for all accounts that access  company systems, networks, and applications, including sensitive administrative access to  routers. MFA should use a combination of credentials and a phishing-resistant secondary  verification method, such as hardware-based PKI or FIDO authentication, to ensure secure  access and prevent unauthorized entry. High visibility means having detailed insight into network  traffic, user activity, and data flow, allowing network defenders to quickly identify threats, anomalous  behavior, and vulnerabilities. Reducing vulnerabilities,  improving secure configuration habits, and following best practices limit potential entry points for  PRC-affiliated and other cyber threats."
#StopRansomware: BianLian Data Extortion Group,2024-11-20,4,"{'phishing': 4, 'extortion': 13, 'personal_data_breach': 1, 'identity_theft': 1, 'ransomware': 25, 'threats_of_violence': 5, 'malware': 9}","Initial Access  BianLian group actors gain initial access to networks by leveraging compromised Remote Desktop Protocol  (RDP) credentials likely acquired from initial access brokers [T1078],[T1133] or via phishing [T1566]. Phishing  T1566  BianLian group actors used phishing to obtain valid  user credentials for initial access. o Apply phishing-resistant multifactor authentication (MFA).   Require phishing-resistant multifactor authentication for all services to the extent possible,  particularly for webmail, virtual private networks, and accounts that access critical systems [CPG  2.H]. TLP:CLEAR  TLP:CLEAR  Co-Authored by:   Product ID: AA23-136A          #StopRansomware: BianLian Data Extortion  Group  Summary  Note: This joint Cybersecurity Advisory is part of an ongoing  #StopRansomware effort to publish advisories for network  defenders that detail various ransomware variants and  ransomware threat actors. The Federal Bureau of Investigation (FBI), Cybersecurity and Infrastructure Security Agency (CISA), and the  Australian Signals Directorate’s Australian Cyber Security Centre (ASD’s ACSC) are releasing this joint  Cybersecurity Advisory to disseminate known BianLian ransomware and data extortion group IOCs and  TTPs identified through FBI and ASD’S ACSC investigations. (New, November 20, 2024) The reporting agencies are aware of multiple ransomware groups, like  BianLian, that seek to misattribute location and nationality by choosing foreign-language names, almost  May 16, 2023 Actions to take today to mitigate  cyber threats from BianLian data  extortion:    Strictly limit the use of RDP and  other remote desktop services. BianLian is a ransomware developer, deployer, and data  extortion cybercriminal group, likely based in Russia, with multiple Russia-based affiliates. BianLian group originally employed a double-extortion model in which they encrypted victims’ systems after  exfiltrating the data; however, they shifted primarily to exfiltration-based extortion around January 2023  and shifted to exclusively exfiltration-based extortion around January 2024. FBI, CISA, and ASD’S ACSC encourage critical infrastructure organizations and small- and medium-sized  organizations to implement the recommendations in the Mitigations section of this advisory to reduce the  likelihood and impact of BianLian and other ransomware and data extortion incidents. BianLian is a ransomware developer, deployer, and data extortion cybercriminal group. BianLian group originally employed a double-extortion model in  which they exfiltrated financial, client, business, technical, and personal files for leverage and encrypted  victims’ systems. In 2023, FBI observed BianLian shift primarily to exfiltration-based extortion with victims’  systems left intact, and ASD’S ACSC observed BianLian shift exclusively to exfiltration-based extortion. Exfiltration and Impact  BianLian group actors search for sensitive files using PowerShell scripts (See Appendix: Windows  PowerShell and Command Shell Activity) and exfiltrate them for data extortion. Prior to January 2023,  BianLian actors encrypted files [T1486] after exfiltration for double extortion. Table 1: BianLian Ransomware and Data Extortion Group IOCs  Name  SHA-256 Hash  Description  def.exe  7b15f570a23a5c5ce8ff942da60834a9d0549ea3ea9f34 f900a09331325df893  Malware associated with  BianLian intrusions, which  is an example of a possible  backdoor developed by  BianLian group. In addition, FBI, CISA, and ASD’S ACSC recommend network defenders apply the following mitigations to  limit potential adversarial use of common system and network discovery techniques and to reduce the  impact and risk of compromise by ransomware or data extortion actors:    Implement a recovery plan to maintain and retain multiple copies of sensitive or proprietary data  and servers in a physically separate, segmented, and secure location (e.g., hard drive, storage  device, or the cloud). We got proofs that  your data was kept with a number of data security violations of data breach  laws. If this leak will take  place they will have to monitor their credit history and identity theft for next  3 years. These #StopRansomware advisories  include recently and historically observed tactics, techniques,  and procedures (TTPs) and indicators of compromise (IOCs) to  help organizations protect against ransomware. Visit  stopransomware.gov to see all #StopRansomware advisories  and to learn more about other ransomware threats and no-cost  resources. (See Figure 1 for a legacy  ransomware note). Figure 1: BianLian Sample Legacy Ransom Note (Look at this instruction.txt)  (New, November 20, 2024) Newer ransomware notes state BianLian group has exfiltrated data and  threaten to leak the exfiltrated data if the ransom is not paid.   Segment networks to prevent the spread of ransomware. Network segmentation can help prevent  the spread of ransomware by controlling traffic flows between—and access to—various  subnetworks, restricting further lateral movement [CPG 2.F].   Identify, detect, and investigate abnormal activity and potential traversal of the indicated  ransomware with a networking monitoring tool. To aid in detecting ransomware, implement a tool  that logs and reports all network traffic, including lateral movement activity on a network. RESOURCES    Stopransomware.gov, a whole-of-government approach with one central location for U.S. ransomware resources and alerts.   cyber.gov.au for the Australian Government’s central location to report cyber incidents, including  ransomware, and to see advice and alerts. The site also provides ransomware advisories for  businesses and organizations to help mitigate cyber threats.   CISA-Multi-State Information Sharing and Analysis Center (MS-ISAC) Joint Ransomware Guide for  guidance on mitigating and responding to a ransomware attack. organizations, Cyber Hygiene Services and Ransomware  Readiness Assessment. Furthermore,   TLP:CLEAR  FBI | CISA | ASD’s ACSC  Page 19 of 23 | Product ID: AA23-136A  TLP:CLEAR  payment may also embolden adversaries to target additional organizations, encourage other criminal  actors to engage in the distribution of ransomware, and/or fund illicit activities. Regardless of whether you  or your organization have decided to pay the ransom, the FBI and CISA urge you to promptly report  ransomware incidents to a local FBI Field Office or CISA at cisa.gov/report. Australian organizations that  have been impacted or require assistance in regard to a ransomware incident can contact ASD’S ACSC via  1300 CYBER1 (1300 292 371) or by submitting a report cyber.gov.au. CISA and NIST based the CPGs on existing cybersecurity   TLP:CLEAR  FBI | CISA | ASD’s ACSC  Page 15 of 23 | Product ID: AA23-136A  TLP:CLEAR  frameworks and guidance to protect against the most common and impactful threats and TTPs. Timely patching is one of the most  efficient and cost-effective steps an organization can take to minimize its exposure to cybersecurity  threats. Defense Evasion  BianLian group actors use PowerShell [T1059.001] and Windows Command Shell [T1059.003] to disable  antivirus tools [T1562.001], specifically Windows defender and Anti-Malware Scan Interface (AMSI). Collection   FBI observed BianLian group actors using malware (system.exe) that enumerates registry values [T1012]  and files [T1083] and copies clipboard data from users [T1115]. Table 2: Resource Development  Technique Title  ID  Use  Develop Capabilities: Malware  T1587.001  BianLian group actors developed a custom  backdoor used in their intrusions. File and Directory Discovery  T1083  BianLian group used malware (system.exe) that  enumerates files. Query Registry  T1012  BianLian group used malware (system.exe) that  enumerates registry. Table 11: Collection  Technique Title  ID  Use  Clipboard Data  T1115  BianLian group actors’ malware collects data stored  in the clipboard from users copying information  within or between applications. AMSI is a built-in feature on  Windows 10 and newer that provides an interface for anti- malware scanners to inspect scripts prior to execution. (It is likely that netsh.dll is a  malware file and not associated with netsh.)  start-process PowerShell.exe -arg  C:\Users\Public\Music\<file>.ps1 - WindowStyle Hidden  Executes a PowerShell script, while keeping the PowerShell  window hidden from the user."
2023 Top Routinely Exploited Vulnerabilities,2024-11-12,4,"{'phishing': 1, 'ransomware': 3, 'threats_of_violence': 1, 'malware': 1}","Identity and Access Management    Enforce phishing-resistant multifactor authentication (MFA) for all users without exception [CPG  2.H]. ●  The actor can then steal information, launch ransomware, or conduct other malicious  activity. TLP:CLEAR  CISA | FBI | NSA  Page 18 of 30 | Product ID: AA24-317A  TLP:CLEAR  Appendix: Patch Information and Additional Resources for Top Exploited Vulnerabilities  CVE  Vendor  Affected Products and Versions  Patch Information  Resources  CVE-2023-3519  Citrix  NetScaler ADC and NetScaler Gateway:  13.1 before 13.1-49.13   13.0 before 13.0-91.13   NetScaler ADC:  13.1-FIPS before 13.1-37.159  12.1-FIPS before 12.1-55.297  12.1-NDcPP before 12.1-55.297  Citrix ADC and Citrix Gateway  Security Bulletin for CVE-2023- 3519, CVE-2023-3466, CVE- 2023-3467  Threat Actors Exploiting  Citrix CVE-2023-3519 to  Implant Webshells  Critical Security Update  for NetScaler ADC and  NetScaler Gateway  CVE-2023-4966  Citrix  NetScaler ADC and NetScaler Gateway:  14.1 before 14.1-8.50  13.1 before 13.1-49.15  13.0 before 13.0-92.19  NetScaler ADC:  13.1-FIPS before 13.1-37.164  12.1-FIPS before 12.1-55.300  12.1-NDcPP before 12.1-55.300  NetScaler ADC and NetScaler  Gateway Security Bulletin for  CVE-2023-4966 and CVE- 2023-4967  #StopRansomware:  LockBit 3.0 Ransomware  Affiliates Exploit CVE  2023-4966 Citrix Bleed  Vulnerability  Critical Security Update  for NetScaler ADC and  NetScaler Gateway  CVE-2023-20198  Cisco  Any Cisco IOS XE Software with web UI  feature enabled  Multiple Vulnerabilities in  Cisco IOS XE Software Web UI  Feature  Guidance for Addressing  Cisco IOS XE Web UI  Vulnerabilities   TLP:CLEAR  CISA | FBI| NSA  Page 19 of 30 | Product ID: AA24-317A  TLP:CLEAR  CVE  Vendor  Affected Products and Versions  Patch Information  Resources  CVE-2023-27997  Fortinet  FortiOS-6K7K versions:  7.0.10, 7.0.5, 6.4.12  6.4.10, 6.4.8, 6.4.6, 6.4.2  6.2.9 through 6.2.13  6.2.6 through 6.2.7  6.2.4  6.0.12 through 6.0.16  6.0.10  Heap buffer overflow in sslvpn  pre-authentication    CVE-2023-34362  Progress  MOVEit Transfer:  2023.0.0 (15.0)  2022.1.x (14.1)  2022.0.x (14.0)  2021.1.x (13.1)  2021.0.x (13.0)  2020.1.x (12.1)  2020.0.x (12.0) or older MOVEit Cloud  MOVEit Transfer Critical  Vulnerability  #StopRansomware: CL0P  Ransomware Gang  Exploits CVE-2023-34362  MOVEit Vulnerability  CVE-2023-22515  Atlassian  8.0.0, 8.0.1, 8.0.2, 8.0.3, 8.0.4  8.1.0, 8.1.1, 8.1.3, 8.1.4  8.2.0, 8.2.1, 8.2.2, 8.2.38.3.0, 8.3.1,  8.3.2  Broken Access Control  Vulnerability in Confluence  Data Center and Server  Threat Actors Exploit  Atlassian Confluence  CVE-2023-22515 for  Initial Access to Networks   TLP:CLEAR  CISA | FBI| NSA  Page 20 of 30 | Product ID: AA24-317A  TLP:CLEAR  CVE  Vendor  Affected Products and Versions  Patch Information  Resources  8.4.0, 8.4.1, 8.4.28.5.0, 8.5.1  CVE-2021- 44228  (Log4Shell)  Apache  Log4j, all versions from 2.0-beta9 to  2.14.1  For other affected vendors and products,  see CISA's GitHub repository. and  Global Critical  Infrastructure  CVE-2023-23397  Microsoft  Outlook  Microsoft Outlook Elevation of  Privilege Vulnerability  Russian Cyber Actors Use  Compromised Routers to  Facilitate Cyber  Operations  CVE-2023-49103  ownCloud  graphapi  Disclosure of Sensitive  Credentials and Configuration  in Containerized Deployments    CVE-2023-20273  Cisco  Cisco IOS XE Software with web UI feature  enabled  Multiple Vulnerabilities in  Cisco IOS XE Software Web UI  Feature  Guidance for Addressing  Cisco IOS XE Web UI  Vulnerabilities   TLP:CLEAR  CISA | FBI| NSA  Page 22 of 30 | Product ID: AA24-317A  TLP:CLEAR  CVE  Vendor  Affected Products and Versions  Patch Information  Resources  CVE-2023-42793  JetBrains  In JetBrains TeamCity before 2023.05.4  CVE-2023-42793 Vulnerability  in TeamCity: Post-Mortem  Russian Foreign  Intelligence Service (SVR)  Exploiting JetBrains  TeamCity CVE Globally  CVE-2023-22518  Atlassian  All versions of Confluence Data Cetner  and Confluence Server  Improper Authorization in  Confluence Data Center and  Server    CVE-2023-29492  —  —  —    CVE-2021-27860   FatPipe  WARP, MPVPN, IPVPN  10.1.2 and 10.2.2  FatPipe CVE List    CVE-2021-40539   Zoho  ManageEngine ADSelfService Plus builds  up to 6113  Security advisory -  ADSelfService Plus  authentication bypass  vulnerability  ACSC Alert:  Critical vulnerability in  ManageEngine  ADSelfService Plus  exploited by cyber actors   TLP:CLEAR  CISA | FBI| NSA  Page 23 of 30 | Product ID: AA24-317A  TLP:CLEAR  CVE  Vendor  Affected Products and Versions  Patch Information  Resources  CVE-2023-0669  Fortra  GoAnywhere versions 2.3 through 7.1.2  Fortra deserialization RCE  #StopRansomware: CL0P  Ransomware Gang  Exploits CVE-2023-34362  MOVEit Vulnerability  CVE-2021-22986  F5  BIG-IP versions:  16.0.x before 16.0.1.1, 15.1.x before  15.1.2.1, 14.1.x before 14.1.4, 13.1.x  before 13.1.3.6, and 12.1.x before  12.1.5.3 and BIG-IQ 7.1.0.x before  7.1.0.3 and 7.0.0.x before 7.0.0.2  K03009991: iControl REST  unauthenticated remote  command execution  vulnerability CVE-2021-22986    CVE-2019-0708  Microsoft  Remote Desktop Services  Remote Desktop Services  Remote Code Execution  Vulnerability    CVE-2018-13379  Fortinet  FortiOS and FortiProxy 2.0.2, 2.0.1, 2.0.0,  1.2.8, 1.2.7, 1.2.6, 1.2.5, 1.2.4, 1.2.3,  1.2.2, 1.2.1, 1.2.0, 1.1.6  FortiProxy - system file leak  through SSL VPN special  crafted HTTP resource  requests    CVE-2023-35078   Ivanti  All supported versions of Endpoint  Manager Mobile (EPMM), including:  Version 11.4 releases 11.10, 11.9 and  11.8  CVE-2023-35078 - New Ivanti  EPMM Vulnerability  Threat Actors Exploiting  Ivanti EPMM  Vulnerabilities   TLP:CLEAR  CISA | FBI| NSA  Page 24 of 30 | Product ID: AA24-317A  TLP:CLEAR  CVE  Vendor  Affected Products and Versions  Patch Information  Resources  CVE-2023-35081   Ivanti  All supported versions of Endpoint  Manager Mobile (EPMM), including 11.10,  11.9 and 11.8  CVE-2023-35081 - Remote  Arbitrary File Write  Threat Actors Exploiting  Ivanti EPMM  Vulnerabilities  CVE-2023-36844  Juniper  Juniper Networks Junos OS on SRX Series  and EX Series:  All versions prior to 20.4R3-S9;  21.1 version 21.1R1 and later versions;  21.2 versions prior to 21.2R3-S7;  21.3 versions prior to 21.3R3-S5;  21.4 versions prior to 21.4R3-S5;  22.1 versions prior to 22.1R3-S4;  22.2 versions prior to 22.2R3-S2;  22.3 versions prior to 22.3R2-S2,  22.3R3-S1;  22.4 versions prior to 22.4R2-S1,  22.4R3;  23.2 versions prior to 23.2R1-S1,  23.2R2. CISA and NIST based the CPGs on existing cybersecurity  frameworks and guidance to protect against the most common and impactful threats, tactics, techniques,  and procedures.   Continuously monitor the attack surface and investigate abnormal activity that may indicate cyber  actor or malware lateral movement [CPG 2.T]."
Easy Access to Information for Conducting Fraudulent Emergency Data Requests Impacts US-Based Companies and Law Enforcement Agencies,2024-11-04,4,"{'phishing': 3, 'extortion': 1, 'ransomware': 4, 'threats_of_violence': 3, 'malware': 6}","Enhanced password protocols implemented in early 2023 highlighted that a mandated  increase in password length, the use of multi-factor-authentication (MFA) for users with  administrative rights, policy controls directed at vishing, and improved baseline monitoring  worked together to decrease successful attempts at cracking passwords and made networks  more resilient to a threat actor’s initial intrusion and persistence. They further stated that the  data obtained could be used to carry out phishing or malware attacks against the  government sector and become an initial access vector. • Require phishing-resistant multifactor authentication for all services to the extent  possible, particularly for webmail, virtual private networks, and accounts that access  critical systems. • In August 2024, a known cyber-criminal on an online forum posted their sale of “High  Quality .gov emails for espionage/social engineering/data extortion/Dada requests,  etc”, which included US credentials. • Segment networks to prevent the spread of malware/ransomware. Network  segmentation can help prevent the spread of malware/ransomware by controlling  traffic flows between—and access to—various subnetworks, and by restricting  adversary lateral movement. • Identify, detect, and investigate abnormal activity and potential traversal of any  indicated malware/ransomware with a networking monitoring tool. To aid in detecting  malware/ransomware, implement a tool that logs and reports all network traffic,  including lateral movement activity on a network. PIN Number  The following information is being provided by the FBI, with no guarantees or warranties, for potential  use at the sole discretion of recipients to protect against cyber threats. The cybersecurity landscape is ever-evolving, and cyber threats are becoming increasingly  sophisticated. Timely patching is one  of the most efficient and cost-effective steps an organization can take to minimize its  exposure to cybersecurity threats. Threat actors use SMB to propagate malware across organizations."
New Tradecraft of Iranian Cyber Group Aria Sepehr Ayandehsazan aka Emennet Pasargad,2024-10-30,4,"{'harassment_stalking': 1, 'threats_of_violence': 1, 'malware': 2}","Indicators of Compromise – Historical  Indicator  Beginning of Actor Association End of Actor Association  45.140.146[.]139  June 2024  September 2024  45.84.0[.]237  May 2024  September 2024  45.140.146[.]197  June 2024  September 2024  45.140.146[.]137  May 2024  September 2024  45.84.0[.]254  June 2024  September 2024  45.142.212[.]21  July 2024  September 2024  45.140.146[.]108  June 2024  September 2024  45.140.146[.]208  June 2024  September 2024  85.206.170[.]160 – 85.206.170[.]191  September 2024  October 2024  85.206.167[.]224 – 85.206.167[.]255  August 2023  June 2024  85.206.169[.]64 – 85.206.169[.]79  May 2023  May 2024  85.206.169[.]80 – 85.206.169[.]95  May 2023  March 2024  onlinelive[.]info  August 2023  August 2024  zeusistalking[.]io  August 2024  October 2024  zeusistalking[.]net  July 2024  August 2024  zeusistalking[.]com  July 2024  July 2024         FBI | Treasury | INCD TLP:CLEAR  Page 13 of 16  |  Product ID: AA24-233A  TLP:CLEAR Indicator  Beginning of Actor Association End of Actor Association  rgud-group[.]net  July 2024  August 2024  rgud-group[.]com  July 2024  July 2024  cyberflood[.]io  October 2023  October 2023  cybercourt[.]io  April 2024  September 2024  213.109.147[.]63  August 2024  October 2024  146.19.254[.]61  September 2024  October 2024  31.42.177[.]114  August 2024  October 2024  pro-today[.]org  March 2024  October 2024  il-cert[.]net  October 2024  October 2024  45.143.167[.]87  October 2024  October 2024  45.143.166[.]233  October 2024  October 2024    Malicious file Identifiers  Table 1. CISA and NIST  based the CPGs on existing cybersecurity frameworks and guidance designed to protect against the most  common and impactful threats, tactics, techniques, and procedures. The 'bd' executable is a remote access trojan (RAT) program that is heavily obfuscated. Remote Access Trojan  T1219  Collects basis system information about an infected computer and  connect to a specified web-server when the program is run on the  command line."
Safe Software Deployment: How Software Manufacturers Can Ensure Reliability for Customers,2024-10-24,4,{'threats_of_violence': 3},"Teams should be able to adapt quickly to changes in requirements,  emerging technologies, and security threats. TLP:CLEAR  TLP:CLEAR  5 CISA | FBI | ACSC  The subsections below include common phases found in successful safe software deployment  programs:  Planning  Before writing any code, a clear plan should be established to define goals and build requirements,  understand customer needs, scope potential threats, and specify success criteria. An operational risk assessment includes understanding  system relationships and interdependencies, potential threats, safety, security, reliability,  performance requirements, and risks associated with common defects."
Product Security Bad Practices,2024-10-16,4,{'phishing': 1},"•  Providing time-limited setup passwords that disable themselves when a setup process is  complete and require configuration of a secure password (or more secure authentication  approaches, such as phishing-resistant MFA)."
Iranian Cyber Actors' Brute Force and Credential Access Activity Compromises Critical Infrastructure Organizations,2024-10-16,4,{'phishing': 2},▪  Implement phishing-resistant MFA [CPG 2.H]. See CISA’s resources Phishing-Resistant Multifactor  Authentication and More than a Password for additional information on strengthening user  credentials.
Update on SVR Cyber Operations and Vulnerability Exploitation,2024-10-10,4,"{'phishing': 3, 'threats_of_violence': 1, 'botnet': 1, 'malware': 2}","The SVR continues using TTPs such as spearphishing [T1566], password  spraying [T1078], abuse of supply chain [T1195] and trusted relationships [T1199], custom and  The authoring agencies recommend the  following mitigations to protect their networks. •  Also in 2023, SVR cyber actors used Microsoft Teams accounts impersonating technical  support entities to send spearphishing messages [T1566] via Microsoft Teams Chat to socially  engineer the victims to grant the actors account access. Phishing  T1566  The actors commonly conduct spear phishing  campaigns. Product ID: JCSA-20241010-001 October 10, 2024 Co-Authored by:  TLP:CLEAR TLP:CLEAR Update on SVR Cyber Operations and  Vulnerability Exploitation  SUMMARY  The Federal Bureau of Investigation (FBI), the  National Security Agency (NSA), Cyber National  Mission Force (CNMF), and the United  Kingdom’s National Cyber Security Centre  (NCSC-UK) are releasing this joint Cybersecurity  Advisory (CSA) to highlight the tactics,  techniques, and procedures (TTPs) employed by  the Russian Federation’s Foreign Intelligence  Service (SVR) in recent cyber operations and  provide network defenders with information to  help counter SVR cyber threats. Compromise  Infrastructure:  Botnet  T1584.005  The actors compromise numerous third-party  systems to form a botnet. FBI | NSA | CNMF | NCSC TLP:CLEAR  Page 2 of 8  |  Product ID: JCSA-20241010-001  TLP:CLEAR bespoke malware, cloud exploitation, and living-off-the-land techniques to gain initial access, escalate  privileges, move laterally, maintain persistence in victim networks and cloud environments, and  exfiltrate information. Compromise  software supply  chain  T1195.002  The actors use trojanized software updates to  compromise downstream customers."
